MESENCHYMAL,ADRENERGIC
MRC2,RBP1
MXRA5,REC8
MYADM,REEP1
MYDGF,RET
MYL12A,RFC4
MYL12B,RGS17
MYLIP,RGS5
NANS,RIMBP2
NBR1,RIMS3
NEK7,RNF144A
NES,RNF150
NFIA,RNF157
NFIC,RNF165
NID1,RNFT2
NID2,RPS6KA2
NOTCH2,RRM2
NOTCH2NL,RTN1
NPC2,RTN2
NPTN,RUFY3
NQO1,RUNDC3A
NR3C1,RUNDC3B
NRP1,SATB1
OGFRL1,SBK1
OLFML2A,SCAMP5
OLFML2B,SCG2
OLFML3,SCG3
OSTC,SCN3A
P4HA1,SEC11C
PALLD,SEPT3
PAPSS2,SEPT6
PCDH18,SERP2
PCOLCE2,SETD7
PCSK5,SHC3
PDE3A,SHD
PDE7B,SIX3
PDGFC,SLC10A4
PDIA3,SLC35G2
PDIA4,SLIT1
PDIA6,SLIT3
PDLIM1,SNAP25
PEA15,SNAP91
PEAK1,SOX11
PHLDA3,ST3GAL6
PHLDB2,STMN2
PHTF2,STMN4
PIAS3,STRA6
PLAGL1,STXBP1
PLEKHA2,SV2C
PLEKHH2,SYNPO2
PLK2,SYT1
PLOD2,SYT4
PLOD3,TACC2
PLPP1,TAGLN3
PLS3,TBC1D30
PLSCR1,TBPL1
PLSCR4,TCEAL7
PLXDC2,TDG
POLR2L,TENM4
PON2,TFAP2B
POSTN,TH
PPIB,THSD7A
PPIC,TIAM1
PPT1,TMEM108
PRCP,TMEM178B
PRDM6,TMEM97
PRDX4,TMOD1
PRDX6,TMOD2
PROM1,TMTC4
PRRX1,TOX2
PTBP1,TRAP1
PTGER4,TSPAN13
PTGFRN,TSPAN7
PTN,TTC8
PTPN14,TUB
PTPRG,TUBB2A
PTPRK,TUBB2B
PTRF,TUBB3
PXDC1,TUBB4B
PXDN,UBE2C
PYGL,UBE2T
QKI,UCP2
QSOX1,UNC79
RAB13,VRK1
RAB29,ZNF195
RAB31,ZNF22
RAP1A,ZNF24
RAP1B,ZNF512
RBMS1,ZNF536
RCN1,ZNF704
RECK,ZNF711
REST,ZNF738
RGL1,ZNF91
RGS10,ZWILCH
RGS3,
RHOC,
RHOJ,
RIN2,
RIT1,
RNFT1,
RNH1,
ROBO1,
ROR1,
RRBP1,
S1PR3,
SASH1,
SCPEP1,
SCRG1,
SDC2,
SDC4,
SDCBP,
SDF4,
SEC14L1,
SEL1L3,
SEMA3C,
SEMA3F,
SEPT10,
SERPINE2,
SERPINH1,
SFT2D1,
SFT2D2,
SGK1,
SH3BGRL,
SHC1,
SHROOM3,
SIX1,
SIX4,
SKIL,
SLC16A4,
SLC30A1,
SLC30A7,
SLC35F5,
SLC38A2,
SLC38A6,
SLC39A14,
SMAD3,
SNAI2,
SNAP23,
